support 5;support 20;support 40;support 50
0,6930552124977112;0,6930511;0,69298923;0,693026662
0,6927742958068848;0,69265461;0,692437291;0,692263603
0,6920851469039917;0,690919101;0,690567732;0,690196812
0,6910375356674194;0,688792527;0,689657688;0,686543524
0,689108669757843;0,687637925;0,688347518;0,68241632
0,689108669757843;0,681335032;0,685680509;0,68241632
0,6875302195549011;0,681335032;0,680543244;0,675468981
0,6863579750061035;0,680854738;0,675902724;0,675365269
0,6805652976036072;0,67773658;0,666202903;0,671076894
0,6805652976036072;0,673087001;0,666202903;0,671076894
0,6757284998893738;0,667338669;0,666202903;0,665741026
0,6737967133522034;0,664444447;0,651986241;0,643974662
0,6647087335586548;0,656215787;0,651986241;0,643974662
0,6647087335586548;0,653933167;0,645828545;0,643974662
0,6647087335586548;0,6452775;0,645828545;0,638632059
